Location	Pincode	State	District
Kallumala	690110	Kerala	Alappuzha
Kalvoor	688522	Kerala	Alappuzha
Kandallur	690535	Kerala	Alappuzha
Kandiyoor	690103	Kerala	Alappuzha
Kanichukulangara	688544	Kerala	Alappuzha
Kanjipadom	688005	Kerala	Alappuzha
Kanjiramchira	688007	Kerala	Alappuzha
Kannady	688504	Kerala	Alappuzha
Kannady West	688504	Kerala	Alappuzha
Kannamangalam	690106	Kerala	Alappuzha
Kannanakuzhy	690505	Kerala	Alappuzha
Kannankara	688527	Kerala	Alappuzha
Kappil East	690533	Kerala	Alappuzha
Karakkad	689504	Kerala	Alappuzha
Kareelakulangara	690572	Kerala	Alappuzha
Karikad	688527	Kerala	Alappuzha
Karikuzhy	689571	Kerala	Alappuzha
Karipuzha	690109	Kerala	Alappuzha
Karthikappally	690516	Kerala	Alappuzha
Karumady	688564	Kerala	Alappuzha
Karuvatta	690517	Kerala	Alappuzha
Karuvatta North	690517	Kerala	Alappuzha
Kattanam	690503	Kerala	Alappuzha
Kattoor Kalavoor	688546	Kerala	Alappuzha
Kavalam	688506	Kerala	Alappuzha
Kavalam West	688506	Kerala	Alappuzha
Kavalm North	688506	Kerala	Alappuzha
Kayalpuram	688504	Kerala	Alappuzha
Kayangulam	690502	Kerala	Alappuzha
Kayangulam College	690502	Kerala	Alappuzha
Keerikad	690508	Kerala	Alappuzha
Kelemangalam	688562	Kerala	Alappuzha
Kidangara	686107	Kerala	Alappuzha
Kochuramapuram	688556	Kerala	Alappuzha
Kodukulanji	689508	Kerala	Alappuzha
Kodupunna	689595	Kerala	Alappuzha
Kokothamangalam	688583	Kerala	Alappuzha
Kollakadavu	690509	Kerala	Alappuzha
Komalapuram	688006	Kerala	Alappuzha
Komallur	690505	Kerala	Alappuzha
Kommady Ward	688007	Kerala	Alappuzha
Kotta	689504	Kerala	Alappuzha
Kottankulangara	688006	Kerala	Alappuzha
Kozhuvallur	689521	Kerala	Alappuzha
Krishnapuram	690533	Kerala	Alappuzha
Kudassanad	689512	Kerala	Alappuzha
Kumarankary	686103	Kerala	Alappuzha
Kumarapuram	690548	Kerala	Alappuzha
Kunnam	690108	Kerala	Alappuzha
Kunnamkary	686102	Kerala	Alappuzha
Kunnumma Thakazhy	688562	Kerala	Alappuzha
Kunthirickal	689575	Kerala	Alappuzha
Kuppapuram	688011	Kerala	Alappuzha
Kuruppankulangara	688539	Kerala	Alappuzha
Kuthiathode	688533	Kerala	Alappuzha
Kuttamangalam	688501	Kerala	Alappuzha
Kuttemperur	689625	Kerala	Alappuzha
Mahadevikadu	690555	Kerala	Alappuzha
Mampra	689508	Kerala	Alappuzha
Manappuram	688558	Kerala	Alappuzha
Mangalam	690515	Kerala	Alappuzha
Mankamkuzhy	690558	Kerala	Alappuzha
Mannancherry	688538	Kerala	Alappuzha
Mannar	689622	Kerala	Alappuzha
Mannarasala	690550	Kerala	Alappuzha
Mararikulam North	688549	Kerala	Alappuzha
Maruthorvattom	688545	Kerala	Alappuzha
Mavelikara	690101	Kerala	Alappuzha
Mavelikara Court	690101	Kerala	Alappuzha
Mavelikara Cutcherry	690101	Kerala	Alappuzha
Mayithara Market	688539	Kerala	Alappuzha
Melpadom	689627	Kerala	Alappuzha
Mithrakary	689598	Kerala	Alappuzha
Moncombu	688502	Kerala	Alappuzha
Moncombu Thekkekara	688503	Kerala	Alappuzha
Muhamma	688525	Kerala	Alappuzha
Mulakuzha	689505	Kerala	Alappuzha
Mundancavu	689124	Kerala	Alappuzha
Muthukulam	690560	Kerala	Alappuzha
Muthukulam South	690506	Kerala	Alappuzha
Muttam	690103	Kerala	Alappuzha
Muttar	689571	Kerala	Alappuzha
Muttathiparambu	688527	Kerala	Alappuzha
Muttom-alleppey	690511	Kerala	Alappuzha
Naduathunagar	688559	Kerala	Alappuzha
Naduvattom	690512	Kerala	Alappuzha
Nangiarkulangara	690513	Kerala	Alappuzha
Narakathara	688506	Kerala	Alappuzha
Nedumudy	688508	Kerala	Alappuzha
Neduvaramkodu	689508	Kerala	Alappuzha
Neelamperoor	686534	Kerala	Alappuzha
Neerattupuram	689571	Kerala	Alappuzha
Neervilakom	689122	Kerala	Alappuzha
Njakkanal	690533	Kerala	Alappuzha
Nooranad	690504	Kerala	Alappuzha
Nooranad Sanatorium	690571	Kerala	Alappuzha
Olakettiambalam	690510	Kerala	Alappuzha
Olavaipu	688526	Kerala	Alappuzha
Padanilam	690529	Kerala	Alappuzha
Pallana	690515	Kerala	Alappuzha
Pallarimangalam	690107	Kerala	Alappuzha
Pallickal	690503	Kerala	Alappuzha
Pallickal -nooranad	690504	Kerala	Alappuzha
Pallickal Naduvilemuri	690503	Kerala	Alappuzha
Pallipad	690512	Kerala	Alappuzha
Pallippuram	688541	Kerala	Alappuzha
Pallithode	688584	Kerala	Alappuzha
Panavally	688566	Kerala	Alappuzha
Panayil	690504	Kerala	Alappuzha
Pandanad North	689124	Kerala	Alappuzha
Pandankary	689721	Kerala	Alappuzha
Pandy	690517	Kerala	Alappuzha
Parayakad	688540	Kerala	Alappuzha
Pathirappally	688521	Kerala	Alappuzha
Pathiyoor	690552	Kerala	Alappuzha
Pattanacaud	688531	Kerala	Alappuzha
Pattolimarket	690531	Kerala	Alappuzha
Pattoor	690529	Kerala	Alappuzha
Pavukara	689622	Kerala	Alappuzha
Payipad	690556	Kerala	Alappuzha
Payyanallur	690504	Kerala	Alappuzha
Pazhaveedu	688009	Kerala	Alappuzha
Pela	690103	Kerala	Alappuzha
Pennukkara	689520	Kerala	Alappuzha
Peringala-mulakuzha	689505	Kerala	Alappuzha
Peringilipuram	689624	Kerala	Alappuzha
Perisserry	689126	Kerala	Alappuzha
Perumbalam	688570	Kerala	Alappuzha
Perungala	690559	Kerala	Alappuzha
Piralassery	689122	Kerala	Alappuzha
Pollethai	688567	Kerala	Alappuzha
Ponga	688503	Kerala	Alappuzha
Ponnad	688538	Kerala	Alappuzha
Poochackal	688526	Kerala	Alappuzha
Poomala	689520	Kerala	Alappuzha
Pulincunnu	688504	Kerala	Alappuzha
Puliyoor	689510	Kerala	Alappuzha
Pullangadi	688505	Kerala	Alappuzha
Pullikanakku	690537	Kerala	Alappuzha
Punnakunnathussery	688504	Kerala	Alappuzha
Punnakunnathussery South	688504	Kerala	Alappuzha
Punnamoodu	690101	Kerala	Alappuzha
Punnapra	688004	Kerala	Alappuzha
Punnapra North	688014	Kerala	Alappuzha
Punthala	689509	Kerala	Alappuzha
Purakad	690551	Kerala	Alappuzha
Puthencavu	689123	Kerala	Alappuzha
Puthenchantha	690501	Kerala	Alappuzha
Puthiyacavu	690102	Kerala	Alappuzha
Puthiyavila	690531	Kerala	Alappuzha
Puthuppally	690527	Kerala	Alappuzha
Ramankary	689595	Kerala	Alappuzha
Sanathanpuram	688003	Kerala	Alappuzha
Sethulekshmipuram	688523	Kerala	Alappuzha
Sreenarayapuram	688582	Kerala	Alappuzha
Thaickal	688554	Kerala	Alappuzha
Thakazhy	688562	Kerala	Alappuzha
Thalavady	689572	Kerala	Alappuzha
Thalavady South	689723	Kerala	Alappuzha
Thamallackal	690549	Kerala	Alappuzha
Thamallackal North	690514	Kerala	Alappuzha
Thamarakulam	690530	Kerala	Alappuzha
Thanneermukkom	688527	Kerala	Alappuzha
Thannikunnu	690534	Kerala	Alappuzha
Thathampally	688013	Kerala	Alappuzha
Thattarambalam	690103	Kerala	Alappuzha
Thayamkary	689722	Kerala	Alappuzha
Thazhakara	690102	Kerala	Alappuzha
Thekkekara	690107	Kerala	Alappuzha
Thirumalabhagom	688540	Kerala	Alappuzha
Thirunallur	688557	Kerala	Alappuzha
Thiruvampady Junction	688002	Kerala	Alappuzha
Thonackad	689511	Kerala	Alappuzha
Thondankulangara	688013	Kerala	Alappuzha
Thottappally	688563	Kerala	Alappuzha
Thottuvathala	688501	Kerala	Alappuzha
Thrikkunnapuzha	690515	Kerala	Alappuzha
Thripperunthura	690105	Kerala	Alappuzha
Thumpoly	688008	Kerala	Alappuzha
Thuravoor	688532	Kerala	Alappuzha
Thuravoor South	688532	Kerala	Alappuzha
Thycattussery	688528	Kerala	Alappuzha
Tiruvanvandur	689109	Kerala	Alappuzha
Trichattukulam	688581	Kerala	Alappuzha
Vadackal	688003	Kerala	Alappuzha
Vaduthala Jetty	688535	Kerala	Alappuzha
Valamnagalam	688532	Kerala	Alappuzha
Valiyakulangara	690104	Kerala	Alappuzha
Valiyaparambu	690566	Kerala	Alappuzha
Valiyazheekkal	690535	Kerala	Alappuzha
Vallikunnam	690501	Kerala	Alappuzha
Varanadu	688543	Kerala	Alappuzha
Varanam	688555	Kerala	Alappuzha
Varenickal	690107	Kerala	Alappuzha
Vattayal Ward	688002	Kerala	Alappuzha
Vayalar	688536	Kerala	Alappuzha
Vazharmangalam	689125	Kerala	Alappuzha
Vedaraplavu	690505	Kerala	Alappuzha
Veeyapuram	690514	Kerala	Alappuzha
Veliyanadu	689590	Kerala	Alappuzha
Veliyanadu North	689590	Kerala	Alappuzha
Veliyanadu West	689590	Kerala	Alappuzha
Vembanad Kayal	688006	Kerala	Alappuzha
Venmony	689509	Kerala	Alappuzha
Vettackal	688587	Kerala	Alappuzha
Vetticode	690503	Kerala	Alappuzha
Vettiyar	690557	Kerala	Alappuzha
Vezhapra	689595	Kerala	Alappuzha
Vysombhagom	688005	Kerala	Alappuzha
Aimurikara	683544	Kerala	Ernakulam
Airapuram	683541	Kerala	Ernakulam
Airoopadam	686692	Kerala	Ernakulam
Airoor	683579	Kerala	Ernakulam
Alangad	683511	Kerala	Ernakulam
Alattuchira	683544	Kerala	Ernakulam
Allapra	683553	Kerala	Ernakulam
Aluva	683101	Kerala	Ernakulam
Aluva Bazar	683101	Kerala	Ernakulam
Aluva Town bus stand	683101	Kerala	Ernakulam
Aluva-asokapuram	683101	Kerala	Ernakulam
Ambalamedu	682303	Kerala	Ernakulam
Ambalamugal	682302	Kerala	Ernakulam
Amballur	682315	Kerala	Ernakulam
Anappara-kalady	683581	Kerala	Ernakulam
Anchelpetty	686667	Kerala	Ernakulam
Andikkadavu	682008	Kerala	Ernakulam
Angamally	683572	Kerala	Ernakulam
Angamally South	683573	Kerala	Ernakulam
Arakunnam	682313	Kerala	Ernakulam
Arakuzha	686672	Kerala	Ernakulam
Aruvappara	683545	Kerala	Ernakulam
Asamannoor	683549	Kerala	Ernakulam
Athani	683585	Kerala	Ernakulam
Avoly	686677	Kerala	Ernakulam
Ayavana	686676	Kerala	Ernakulam
Ayyampilly	682501	Kerala	Ernakulam
Ayyampuzha	683581	Kerala	Ernakulam
Azhakam	683577	Kerala	Ernakulam
Azheekal	682510	Kerala	Ernakulam
Banerji Road	682018	Kerala	Ernakulam
Bhaktanandapuram	682308	Kerala	Ernakulam
Bhoothathankettu	686691	Kerala	Ernakulam
Binanipuram	683502	Kerala	Ernakulam
Brahmapuram	682303	Kerala	Ernakulam
Changampuzha Nagar	682033	Kerala	Ernakulam
Chathamattam	686671	Kerala	Ernakulam
Chelad Junction	686681	Kerala	Ernakulam
Chellanam	682008	Kerala	Ernakulam
Chendamangalam	683512	Kerala	Ernakulam
Chengamanad	683578	Kerala	Ernakulam
Cherai	683514	Kerala	Ernakulam
Cheranalloor(pbr)	683544	Kerala	Ernakulam
Cheranallur	682034	Kerala	Ernakulam
Cheruvattoor	686691	Kerala	Ernakulam
Chethicode	682315	Kerala	Ernakulam
Chittoor-ekm	682027	Kerala	Ernakulam
Choondakuzhy	683546	Kerala	Ernakulam
Chottanikkara	682312	Kerala	Ernakulam
Chowara	683571	Kerala	Ernakulam
Chully	683581	Kerala	Ernakulam
Cochin Special economic zone	682037	Kerala	Ernakulam
Desom	683102	Kerala	Ernakulam
Dry Dock	682029	Kerala	Ernakulam
Edakkattuvayal	682313	Kerala	Ernakulam
Edakochi	682006	Kerala	Ernakulam
Edapally	682024	Kerala	Ernakulam
Edapally North	682024	Kerala	Ernakulam
Edathala	683561	Kerala	Ernakulam
Edathala North	683564	Kerala	Ernakulam
Edavanakad	682502	Kerala	Ernakulam
Edavoor	683544	Kerala	Ernakulam
Edayar	686662	Kerala	Ernakulam
Elamakkara	682026	Kerala	Ernakulam
Elamkunnapuzha	682503	Kerala	Ernakulam
Elanji	686665	Kerala	Ernakulam
Elanthikara	683594	Kerala	Ernakulam
Elavoor	683572	Kerala	Ernakulam
Enanalloor	686673	Kerala	Ernakulam
Ernakulam	682011	Kerala	Ernakulam
Ernakulam College	682035	Kerala	Ernakulam
Ernakulam High court	682031	Kerala	Ernakulam
Ernakulam Hindi prachar sabha	682016	Kerala	Ernakulam
Ernakulam North	682018	Kerala	Ernakulam
Eroor	682306	Kerala	Ernakulam
Eroor South	682306	Kerala	Ernakulam
Eroor West	682306	Kerala	Ernakulam
Erumathala	683112	Kerala	Ernakulam
Ezhakkaranad	682308	Kerala	Ernakulam
Ezhakkaranadu South	682308	Kerala	Ernakulam
Ezhattumugham	683577	Kerala	Ernakulam
Ezhikkara	683513	Kerala	Ernakulam
Gothuruthy	683516	Kerala	Ernakulam
Hmt Colony	683503	Kerala	Ernakulam
Idamalayar	686691	Kerala	Ernakulam
Illambakapalli	683544	Kerala	Ernakulam
Inchathotty	686691	Kerala	Ernakulam
Iramalloor	686691	Kerala	Ernakulam
Irimbanam	682309	Kerala	Ernakulam
Iringole	683548	Kerala	Ernakulam
Kadakkanad	682311	Kerala	Ernakulam
Kadalikkad	686670	Kerala	Ernakulam
Kadamakudi	682027	Kerala	Ernakulam
Kadamattam	682311	Kerala	Ernakulam
Kadavanthara	682020	Kerala	Ernakulam
Kadavoor	686671	Kerala	Ernakulam
Kadayirippu	682311	Kerala	Ernakulam
Kadungamangalam	682305	Kerala	Ernakulam
Kaipatoor	682313	Kerala	Ernakulam
Kaitharam	683519	Kerala	Ernakulam
Kakkad	686664	Kerala	Ernakulam
Kakkanad	682030	Kerala	Ernakulam
Kakkanad West	682030	Kerala	Ernakulam
Kakkoor	686662	Kerala	Ernakulam
Kalady	683574	Kerala	Ernakulam
Kalady Plantation	683583	Kerala	Ernakulam
Kalamassery	683104	Kerala	Ernakulam
Kalamassery Development plot	683109	Kerala	Ernakulam
Kalampoor	686664	Kerala	Ernakulam
Kalloorkkad	686668	Kerala	Ernakulam
Kaloor	686668	Kerala	Ernakulam
Kanayannoor	682312	Kerala	Ernakulam
Kandanad	682305	Kerala	Ernakulam
Kaninad	682310	Kerala	Ernakulam
Kanjiramattom	682315	Kerala	Ernakulam
Kanjoor	683575	Kerala	Ernakulam
Kannamali	682008	Kerala	Ernakulam
Karamala	686662	Kerala	Ernakulam
Karimpana	686662	Kerala	Ernakulam
Karimugal	682303	Kerala	Ernakulam
Karukadom	686691	Kerala	Ernakulam
Karukappilli	682311	Kerala	Ernakulam
Karukutty	683576	Kerala	Ernakulam
Karumalloor	683511	Kerala	Ernakulam
Kavakkad	686668	Kerala	Ernakulam
Keerampara	686691	Kerala	Ernakulam
Keezhillam	683541	Kerala	Ernakulam
Kidangoor	683572	Kerala	Ernakulam
Kinginimattom	682311	Kerala	Ernakulam
Kizhakkambalam	683562	Kerala	Ernakulam
Kizhakompu	686662	Kerala	Ernakulam
Kizhmuri	686663	Kerala	Ernakulam
Kochi	682001	Kerala	Ernakulam
Kochi Airport	683111	Kerala	Ernakulam
Kochi M.g.road	682016	Kerala	Ernakulam
Kochi Naval base	682004	Kerala	Ernakulam
Kochi Palace	682301	Kerala	Ernakulam
Kochi University	682022	Kerala	Ernakulam
Kodanad	683544	Kerala	Ernakulam
Kokkappilly	682305	Kerala	Ernakulam
Kolenchery	682311	Kerala	Ernakulam
Kombanad	683546	Kerala	Ernakulam
Kongorpilly	683518	Kerala	Ernakulam
Koonammavu	683518	Kerala	Ernakulam
Koothattukulam	686662	Kerala	Ernakulam
Koovalloor	686671	Kerala	Ernakulam
Koovappady	683544	Kerala	Ernakulam
Koovappara	686691	Kerala	Ernakulam
Kothad	682027	Kerala	Ernakulam
Kothamangalam	686691	Kerala	Ernakulam
Kothamangalam Bazar	686691	Kerala	Ernakulam
Kothamangalam College	686666	Kerala	Ernakulam
Kottappady	686695	Kerala	Ernakulam
Kottuvally	683519	Kerala	Ernakulam
Kozhipilly	686691	Kerala	Ernakulam
Kulayettikara	682315	Kerala	Ernakulam
Kumarapuram	683565	Kerala	Ernakulam
Kumbalam	682506	Kerala	Ernakulam
Kumbalangi	682007	Kerala	Ernakulam
Kumbalangi South	682007	Kerala	Ernakulam
Kunjithai	683522	Kerala	Ernakulam
Kunnackal	682316	Kerala	Ernakulam
Kunnukara	683524	Kerala	Ernakulam
Kureekad	682305	Kerala	Ernakulam
Kurumassery	683579	Kerala	Ernakulam
Kuruppampady	683545	Kerala	Ernakulam
Kusumagiri	682030	Kerala	Ernakulam
Kuthiathode(ekm)	683594	Kerala	Ernakulam
Kuthukuzhy	686691	Kerala	Ernakulam
Kuttampuzha	686691	Kerala	Ernakulam
Kuttikkattukara	683501	Kerala	Ernakulam
Kuzhiyara	682312	Kerala	Ernakulam
Madakkathanam	686670	Kerala	Ernakulam
Malayattoor	683587	Kerala	Ernakulam
Malayidumthuruth	683561	Kerala	Ernakulam
Maliankara	683516	Kerala	Ernakulam
Malipara	686691	Kerala	Ernakulam
Malipuram	682511	Kerala	Ernakulam
Mamala	682305	Kerala	Ernakulam
Mamalakandom	686691	Kerala	Ernakulam
Mamalassery	686663	Kerala	Ernakulam
Manary	686673	Kerala	Ernakulam
Manickamangalam	683574	Kerala	Ernakulam
Manidu	686726	Kerala	Ernakulam
Manikinar	686693	Kerala	Ernakulam
Manjapra	683581	Kerala	Ernakulam
Manjummel	683501	Kerala	Ernakulam
Mannam Paravur	683520	Kerala	Ernakulam
Mannathur	686723	Kerala	Ernakulam
Maradu	682304	Kerala	Ernakulam
Marady East	686673	Kerala	Ernakulam
Marampally	683107	Kerala	Ernakulam
Marika	686662	Kerala	Ernakulam
Marithazham	682315	Kerala	Ernakulam
Matsyapuri	682029	Kerala	Ernakulam
Mattancherry	682002	Kerala	Ernakulam
Mattancherry Bazar	682002	Kerala	Ernakulam
Mattancherry Jetty	682002	Kerala	Ernakulam
Mattancherry Town	682002	Kerala	Ernakulam
Mattoor	683574	Kerala	Ernakulam
Mazhuvannoor	686689	Kerala	Ernakulam
Mazhuvannoor South	686669	Kerala	Ernakulam
Meempara	682308	Kerala	Ernakulam
Meenkunnam	686672	Kerala	Ernakulam
Mekkad	683589	Kerala	Ernakulam
Mekkadambu	682316	Kerala	Ernakulam
Memadangu	686672	Kerala	Ernakulam
Methala	683545	Kerala	Ernakulam
Mookkannur	683577	Kerala	Ernakulam
Moothakunnam	683516	Kerala	Ernakulam
Mudakuzha	683546	Kerala	Ernakulam
Mudavoor	686669	Kerala	Ernakulam
Mudikkal	683547	Kerala	Ernakulam
Mulakulam	686664	Kerala	Ernakulam
Mulanthuruthy	682314	Kerala	Ernakulam
Mulavoor	686673	Kerala	Ernakulam
Mulavukad	682504	Kerala	Ernakulam
Mullapuzhachal	686670	Kerala	Ernakulam
Mundamveli	682507	Kerala	Ernakulam
Muppathadam	683110	Kerala	Ernakulam
Mutholapuram	686665	Kerala	Ernakulam
Muvattupuzha	686661	Kerala	Ernakulam
Muvattupuzha Bazar	686661	Kerala	Ernakulam
Muvattupuzha Market	686673	Kerala	Ernakulam
Nadakkavu	682307	Kerala	Ernakulam
Nadukani	686691	Kerala	Ernakulam
Naduvattam	683574	Kerala	Ernakulam
Nagapuzha	686668	Kerala	Ernakulam
Nanthiattukunnam	683513	Kerala	Ernakulam
Narakkal	682505	Kerala	Ernakulam
Naval Armament depot - aluva	683563	Kerala	Ernakulam
Nayarambalam	682509	Kerala	Ernakulam
Nayathode	683572	Kerala	Ernakulam
Nazreth	682507	Kerala	Ernakulam
Nechoor	686664	Kerala	Ernakulam
Nedumbassery	683585	Kerala	Ernakulam
Nedungad	682509	Kerala	Ernakulam
Nedungapra	683545	Kerala	Ernakulam
Neeleeswaram	683584	Kerala	Ernakulam
Neendapara	686693	Kerala	Ernakulam
Neericode	683511	Kerala	Ernakulam
Nellad	686721	Kerala	Ernakulam
Nellikuzhy	686691	Kerala	Ernakulam
Nellimattam	686693	Kerala	Ernakulam
Neriamangalam	686693	Kerala	Ernakulam
Nettoor	682304	Kerala	Ernakulam
Nirmala	686673	Kerala	Ernakulam
Njayapalli	686691	Kerala	Ernakulam
North End	682009	Kerala	Ernakulam
North Piramadom	686667	Kerala	Ernakulam
Ochanthuruth	682508	Kerala	Ernakulam
Okkal	683550	Kerala	Ernakulam
Oliyapuram	686679	Kerala	Ernakulam
Onakkoor	686667	Kerala	Ernakulam
Oonnukal	686693	Kerala	Ernakulam
Ooramana	686730	Kerala	Ernakulam
Pachalam	682012	Kerala	Ernakulam
Paduvapuram	683582	Kerala	Ernakulam
Paingarapilly	682314	Kerala	Ernakulam
Paingattoor	686671	Kerala	Ernakulam
Palakuzha	686686	Kerala	Ernakulam
Palarivattom	682025	Kerala	Ernakulam
Pallarimangalam	686671	Kerala	Ernakulam
Palliport	683515	Kerala	Ernakulam
Palluruthy	682006	Kerala	Ernakulam
Palluruthy South	682006	Kerala	Ernakulam
Pampakuda	686667	Kerala	Ernakulam
Panaikulam	683511	Kerala	Ernakulam
Panampilly Nagar	682036	Kerala	Ernakulam
Panangad	682506	Kerala	Ernakulam
Panayappilly	682002	Kerala	Ernakulam
Pancode	682310	Kerala	Ernakulam
Pandappily	686672	Kerala	Ernakulam
Paniely	683546	Kerala	Ernakulam
Panipra	686692	Kerala	Ernakulam
Parakkadavu	683579	Kerala	Ernakulam
Parappuram	683593	Kerala	Ernakulam
Paravur	683513	Kerala	Ernakulam
Paravur Market	683513	Kerala	Ernakulam
Paravur Town	683513	Kerala	Ernakulam
Pareekanni	686693	Kerala	Ernakulam
Pattimattam	683562	Kerala	Ernakulam
Pazhamthottam	683565	Kerala	Ernakulam
Pazhoor	686664	Kerala	Ernakulam
Periapuram	686667	Kerala	Ernakulam
Peringala	683565	Kerala	Ernakulam
Perumannoor(kgm)	686693	Kerala	Ernakulam
Perumanur	682015	Kerala	Ernakulam
Perumbadavam	686665	Kerala	Ernakulam
Perumballoor	686673	Kerala	Ernakulam
Perumbavoor	683542	Kerala	Ernakulam
Perumbavoor South	683542	Kerala	Ernakulam
Perumpilly	682314	Kerala	Ernakulam
Pezhakkappilly	686674	Kerala	Ernakulam
Pindimana	686698	Kerala	Ernakulam
Piraroor	683574	Kerala	Ernakulam
Piravom	686664	Kerala	Ernakulam
Pizhala	682027	Kerala	Ernakulam
Plamudi	686692	Kerala	Ernakulam
Ponjassery	683547	Kerala	Ernakulam
Poonithura	682038	Kerala	Ernakulam
Poothotta	682307	Kerala	Ernakulam
Poothrikka	682308	Kerala	Ernakulam
Pooyamkutty	686691	Kerala	Ernakulam
Pothanicaud	686671	Kerala	Ernakulam
Pulickamaly	682314	Kerala	Ernakulam
Pulinthanam	686671	Kerala	Ernakulam
Puliyanam	683572	Kerala	Ernakulam
Pulluvazhi	683541	Kerala	Ernakulam
Puthencruz	682308	Kerala	Ernakulam
Puthenvelikkara	683594	Kerala	Ernakulam
Puthupadi	686673	Kerala	Ernakulam
Puthuvype	682508	Kerala	Ernakulam
Rajagiri	683104	Kerala	Ernakulam
Rajagiri Valley	682039	Kerala	Ernakulam
Ramamangalam	686663	Kerala	Ernakulam
Randar	686673	Kerala	Ernakulam
Rayamangalam	683545	Kerala	Ernakulam
Rayonpuram	683543	Kerala	Ernakulam
S.Aduvassery	683578	Kerala	Ernakulam
S.Chellanam	682008	Kerala	Ernakulam
Shanmugham Road	682031	Kerala	Ernakulam
South Paravoor	682320	Kerala	Ernakulam
South Vazhakulam	683105	Kerala	Ernakulam
Sreemoolanagaram	683580	Kerala	Ernakulam
Thabore	683577	Kerala	Ernakulam
